Año,CodEstablecimiento,Departamento,Depto_mupio,Sector,Area,Sexo,Grado,Nivel,Pueblo,Plan_estudios,Jornada,Resultado,Repitente,Graduando,municipio_codigo,Sector_codigo,Área_codigo,Sexo_codigo,Nivel_codigo,Pueblo_Per_codigo,Plan_Est_codigo,Jornada_Est_codigo,Resultado_F_codigo,Repitente_codigo,Graduando_codigo,Departamento_F_codigo
2024,15-03-0100-43,Baja Verapaz,1501,Público,Urbana,Hombre,1,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-03,1,1,1,2,1,1,1,1,2,2,15
2024,15-04-0137-43,Baja Verapaz,1501,Público,Rural,Mujer,1,Primaria,Maya,Diario,Matutina,No promovido,No,No,15-04,1,2,2,2,1,1,1,5,2,2,15
2024,19-01-1082-42,Zacapa,1901,Privado,Urbana,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,2,1,1,1,5,1,1,1,2,2,19
2024,19-08-1110-42,Zacapa,1901,Público,Rural,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-08,1,2,2,1,5,1,1,1,2,2,19
2024,02-08-0204-42,El Progreso,201,Público,Urbana,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-08,1,1,2,1,5,1,1,1,2,2,2
2024,19-09-0004-43,Zacapa,1901,Público,Rural,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-09,1,2,1,2,5,1,1,1,2,2,19
2024,15-08-0156-43,Baja Verapaz,1501,Público,Rural,Hombre,6,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-08,1,2,1,2,1,1,1,1,2,2,15
2024,15-02-0063-45,Baja Verapaz,1501,Público,Rural,Mujer,1,Básico,Maya,Diario,Matutina,Promovido,No,No,15-02,1,2,2,3,1,1,1,1,2,2,15
2024,19-11-0010-43,Zacapa,1901,Público,Urbana,Mujer,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-11,1,1,2,2,5,1,1,1,2,2,19
2024,02-07-0400-42,El Progreso,201,Público,Rural,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-07,1,2,2,1,5,1,1,1,2,2,2
2024,02-05-0113-42,El Progreso,201,Público,Urbana,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-05,1,1,1,1,5,1,1,1,2,2,2
2024,19-06-0728-45,Zacapa,1901,Público,Rural,Mujer,2,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-06,1,2,2,3,5,1,1,1,2,2,19
2024,02-01-0009-43,El Progreso,201,Público,Rural,Hombre,6,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-01,1,2,1,2,5,1,1,1,2,2,2
2024,19-03-0113-43,Zacapa,1901,Público,Rural,Hombre,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-03,1,2,1,2,5,1,1,1,2,2,19
2024,02-06-0243-45,El Progreso,201,Público,Urbana,Mujer,2,Básico,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-06,1,1,2,3,5,1,1,1,2,2,2
2024,15-02-0070-43,Baja Verapaz,1501,Público,Urbana,Mujer,1,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-02,1,1,2,2,1,1,1,1,2,2,15
2024,15-02-0072-43,Baja Verapaz,1501,Público,Rural,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-02,1,2,2,2,5,1,1,1,2,2,15
2024,02-07-0161-43,El Progreso,201,Público,Urbana,Mujer,3,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-07,1,1,2,2,5,1,1,1,2,2,2
2024,15-08-0086-43,Baja Verapaz,1501,Público,Rural,Hombre,5,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-08,1,2,1,2,1,1,1,1,2,2,15
2024,15-08-0136-43,Baja Verapaz,1501,Público,Rural,Mujer,5,Primaria,Maya,Diario,Matutina,Retirado,No,No,15-08,1,2,2,2,1,1,1,3,2,2,15
2024,19-05-0203-43,Zacapa,1901,Público,Rural,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-05,1,2,1,2,5,1,1,1,2,2,19
2024,15-03-0099-43,Baja Verapaz,1501,Público,Urbana,Mujer,5,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,Sí,No,15-03,1,1,2,2,5,1,1,1,1,2,15
2024,15-04-0136-43,Baja Verapaz,1501,Público,Urbana,Mujer,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-04,1,1,2,2,5,1,1,1,2,2,15
2024,19-09-0271-43,Zacapa,1901,Público,Rural,Mujer,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,Sí,No,19-09,1,2,2,2,5,1,1,1,1,2,19
2024,02-03-0091-43,El Progreso,201,Público,Rural,Hombre,5,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-03,1,2,1,2,5,1,1,1,2,2,2
2024,15-03-1349-41,Baja Verapaz,1501,Público,Rural,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-03,1,2,1,1,5,1,1,1,2,2,15
2024,15-05-0045-46,Baja Verapaz,1501,Privado,Rural,Mujer,4,Diversificado,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,15-05,2,2,2,4,5,1,2,1,2,2,15
2024,02-07-0509-43,El Progreso,201,Público,Urbana,Hombre,3,Primaria,Ladino/Mestizo,Diario,Vespertina,Promovido,No,No,02-07,1,1,1,2,5,1,2,1,2,2,2
2024,19-01-0928-43,Zacapa,1901,Público,Rural,Hombre,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,1,2,1,2,5,1,1,1,2,2,19
2024,02-03-0060-43,El Progreso,201,Público,Urbana,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,Sí,No,02-03,1,1,1,2,5,1,1,1,1,2,2
2024,15-01-0170-43,Baja Verapaz,1501,Público,Rural,Mujer,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-01,1,2,2,2,5,1,1,1,2,2,15
2024,19-01-0191-45,Zacapa,1901,Privado,Urbana,Hombre,2,Básico,Ladino/Mestizo,Fin de semana,Doble,No promovido,No,No,19-01,2,1,1,3,5,2,4,5,2,2,19
2024,15-02-1674-42,Baja Verapaz,1501,Público,Rural,Hombre,6,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-02,1,2,1,1,1,1,1,1,2,2,15
2024,02-05-0118-43,El Progreso,201,Público,Rural,Mujer,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-05,1,2,2,2,5,1,1,1,2,2,2
2024,19-01-1138-43,Zacapa,1901,Público,Rural,Hombre,1,Primaria,Extranjero,Diario,Matutina,Promovido,No,No,19-01,1,2,1,2,6,1,1,1,2,2,19
2024,19-04-0160-43,Zacapa,1901,Público,Rural,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-04,1,2,1,2,5,1,1,1,2,2,19
2024,19-04-1263-46,Zacapa,1901,Privado,Urbana,Hombre,5,Diversificado,Ladino/Mestizo,Fin de semana,Doble,Promovido,No,Sí,19-04,2,1,1,4,5,2,4,1,2,1,19
2024,19-04-0042-42,Zacapa,1901,Público,Rural,Mujer,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-04,1,2,2,1,5,1,1,1,2,2,19
2024,15-02-0022-45,Baja Verapaz,1501,Público,Rural,Hombre,3,Básico,Maya,Diario,Vespertina,Promovido,No,No,15-02,1,2,1,3,1,1,2,1,2,2,15
2024,02-07-0699-46,El Progreso,201,Privado,Urbana,Mujer,5,Diversificado,Ladino/Mestizo,Diario,Doble,Promovido,No,No,02-07,2,1,2,4,5,1,4,1,2,2,2
2024,02-08-0205-43,El Progreso,201,Público,Urbana,Hombre,2,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-08,1,1,1,2,5,1,1,1,2,2,2
2024,15-08-0011-42,Baja Verapaz,1501,Público,Rural,Mujer,6,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-08,1,2,2,1,1,1,1,1,2,2,15
2024,15-05-0004-43,Baja Verapaz,1501,Público,Rural,Mujer,4,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,15-05,1,2,2,2,5,1,1,1,2,2,15
2024,19-01-0079-46,Zacapa,1901,Público,Urbana,Mujer,5,Diversificado,Ladino/Mestizo,Diario,Nocturna,No promovido,Sí,No,19-01,1,1,2,4,5,1,3,5,1,2,19
2024,02-06-0148-42,El Progreso,201,Público,Rural,Hombre,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-06,1,2,1,1,5,1,1,1,2,2,2
2024,15-08-0287-43,Baja Verapaz,1501,Público,Rural,Hombre,1,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-08,1,2,1,2,1,1,1,1,2,2,15
2024,19-01-0001-42,Zacapa,1901,Público,Urbana,Hombre,5,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,19-01,1,1,1,1,5,1,1,1,2,2,19
2024,15-04-2054-42,Baja Verapaz,1501,Público,Rural,Mujer,6,Preprimaria,Maya,Diario,Matutina,Promovido,No,No,15-04,1,2,2,1,1,1,1,1,2,2,15
2024,15-02-0070-43,Baja Verapaz,1501,Público,Urbana,Mujer,5,Primaria,Maya,Diario,Matutina,Promovido,No,No,15-02,1,1,2,2,1,1,1,1,2,2,15
2024,02-07-0168-43,El Progreso,201,Público,Rural,Hombre,1,Primaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-07,1,2,1,2,5,1,1,1,2,2,2
2024,02-03-0037-42,El Progreso,201,Público,Rural,Mujer,6,Preprimaria,Ladino/Mestizo,Diario,Matutina,Promovido,No,No,02-03,1,2,2,1,5,1,1,1,2,2,2
